Story_Index,Story_Title,Q_Type,Q_Index,Prompt,Hint,Choice_1,Choice_2,Choice_3,Correct_Choice
0,Story 1: The Plastic Bottle,literal,0,1. Who is in the story?,The boy in the park,Liam,Jake,A teacher,1
0,Story 1: The Plastic Bottle,literal,1,2. Where is Liam?,Outside with trees,Park,School,Store,1
0,Story 1: The Plastic Bottle,literal,2,3. What does Liam have?,You drink from it,Bottle,Book,Ball,1
0,Story 1: The Plastic Bottle,literal,3,4. What did Liam do first with the bottle?,Not the right choice,Dropped it,Recycled it,Kept it,1
0,Story 1: The Plastic Bottle,literal,4,5. Where did Liam put the bottle at the end?,The right place for plastic,Recycling bin,Ground,Somewhere else,1
0,Story 1: The Plastic Bottle,inferential,0,1. Why did Liam stop?,He started thinking,To fix it,To get lost,To take a break,1
0,Story 1: The Plastic Bottle,inferential,1,2. How did Liam feel at the end?,After fixing a mistake,Proud,Mad,Sleepy,1
0,Story 1: The Plastic Bottle,inferential,2,3. Why did Liam go back?,He wanted to fix it,To help the Earth,To play around,To hide it,1
0,Story 1: The Plastic Bottle,inferential,3,4. What is the problem?,Middle of story,He dropped the plastic bottle,Walking around,Drinking,1
0,Story 1: The Plastic Bottle,inferential,4,5. What will Liam do next time?,He learned,Recycle first,Drop the trash,Walk away,1
1,Story 2: Planting a Tree,literal,0,1. Who is in the story?,The girl planting,Maya,Anna,Teacher,1
1,Story 2: Planting a Tree,literal,1,2. Where are they?,Outside,Outside,Home,Store,1
1,Story 2: Planting a Tree,literal,2,3. What are they planting?,It grows tall,Tree,Flower,Grass,1
1,Story 2: Planting a Tree,literal,3,4. What was the problem?,She needed water,There was no water,No shovel,No tree,1
1,Story 2: Planting a Tree,literal,4,5. What did they do at the end?,Helped the tree,Watered it,Left it,Moved it,1
1,Story 2: Planting a Tree,inferential,0,1. Why did Maya need water?,Think about what trees need,To help the tree grow,To wash hands,To drink water,1
1,Story 2: Planting a Tree,inferential,1,2. How did Maya feel?,Think about her empty watering can,Worried,Happy,Sleepy,1
1,Story 2: Planting a Tree,inferential,2,3. Why did her friend help?,Think about why friends help,To help Maya,To play around,To run away,1
1,Story 2: Planting a Tree,inferential,3,4. What is the problem?,Think about what went wrong,There was no water,She was digging,Walking around,1
1,Story 2: Planting a Tree,inferential,4,5. What will Maya do next time?,Think about the water,Bring water,Forget again,Wait there,1
2,Story 3: The Running Water,literal,0,1. Who is in the story?,The boy,Noah,Jake,Sam,1
2,Story 3: The Running Water,literal,1,2. Where is Noah?,With a sink,Bathroom,Park,Bus,1
2,Story 3: The Running Water,literal,2,3. What did Noah do?,With water,Washed hands,Ate,Read,1
2,Story 3: The Running Water,literal,3,4. What was the problem?,Water still on,Left water on,Closed door,Dropped soap,1
2,Story 3: The Running Water,literal,4,5. What did his sister do?,Fixed it,Turned it off,Walked away,Watched only,1
2,Story 3: The Running Water,inferential,0,1. Why should we turn off the water?,Think about why water matters,To save water,To make noise,To play around,1
2,Story 3: The Running Water,inferential,1,2. How did Noah feel?,Think about forgetting the water,Bad,Excited,Hungry,1
2,Story 3: The Running Water,inferential,2,3. Why did Noah's sister tell him?,Think about why she told him,To show mistake,To yell at him,To walk away,1
2,Story 3: The Running Water,inferential,3,4. What is the problem?,Think about what went wrong,The water was left running,He was washing,The sink overflowed,1
2,Story 3: The Running Water,inferential,4,5. What will Noah do next time?,Think about the sink,Turn off the water,Leave it on,Walk away,1
3,Story 4: The Light Left On,literal,0,1. Who is in the story?,The girl,Emma,Lily,Mom,1
3,Story 4: The Light Left On,literal,1,2. Where was the light?,Her room,Bedroom,Kitchen,Yard,1
3,Story 4: The Light Left On,literal,2,3. What was left on?,Bright,Light,TV,Door,1
3,Story 4: The Light Left On,literal,3,4. What was the problem?,Wasting,The light was left on,She was sitting,She was talking,1
3,Story 4: The Light Left On,literal,4,5. What did Emma do?,Fixed it,Turned it off,Left it on,Closed door,1
3,Story 4: The Light Left On,inferential,0,1. Why should we turn off the lights?,Think about using less power,To save energy,To go to sleep,To play around,1
